"","x"
"1","she"
"2","he"
"3","after"
"4","minutes"
"5","said"
"6","then"
"7","asked"
"8","NOTwe"
"9","told"
"10","NOTfood"
"11","her"
"12","NOTnot"
"13","NOTback"
"14","took"
"15","bad"
"16","manager"
"17","waitress"
"18","NOTour"
"19","worst"
"20","another"
"21","ever"
"22","NOTagain"
"23","left"
"24","great"
"25","horrible"
"26","terrible"
"27","waited"
"28","cold"
"29","finally"
"30","waiter"
"31","rude"
"32","customer"
"33","why"
"34","NOTno"
"35","NOTany"
"36","tasted"
"37","waiting"
"38","NOTtime"
"39","NOTservice"
"40","him"
"41","looked"
"42","disappointed"
"43","called"
"44","walked"
"45","later"
"46","NOTthem"
"47","pretty"
"48","money"
"49","bill"
"50","sat"
"51","NOTshe"
"52","NOTcome"
"53","water"
"54","best"
"55","no"
"56","maybe"
"57","wrong"
"58","always"
"59","ok"
"60","arrived"
"61","NOThe"
"62","however"
"63","someone"
"64","dry"
"65","NOTever"
"66","bland"
"67","NOTgive"
"68","pay"
"69","instead"
"70","customers"
"71","poor"
"72","though"
"73","NOTher"
"74","guy"
"75","slow"
"76","seemed"
"77","NOTworth"
"78","empty"
"79","definitely"
"80","call"
"81","NOTafter"
"82","NOTtable"
"83","NOTtaste"
"84","NOTbad"
"85","NOTtake"
"86","orders"
"87","hostess"
"88","NOTmuch"
"89","sitting"
"90","NOTdid"
"91","NOTanything"
"92","guess"
"93","love"
"94","NOTreally"
"95","NOTbetter"
"96","okay"
"97","fine"
"98","disappointing"
"99","NOTdidn't"
"100","bit"
"101","mediocre"
"102","NOTthink"
"103","NOTsee"
"104","NOTgreat"
"105","NOTflavor"
"106","NOTeither"
"107","decent"
"108","quite"
"109","unfortunately"
"110","overall"
"111","stars"
"112","average"
"113","friendly"
"114","fresh"
"115","salty"
"116","ã"
"117","NOTspecial"
"118","recommend"
"119","amazing"
"120","worth"
"121","delicious"
"122","OK"
"123","selection"
"124","favorite"
"125","spot"
"126","tasty"
"127","enjoyed"
"128","awesome"
"129","liked"
"130","excellent"
"131","lots"
"132","fun"
"133","attentive"
"134","loved"
"135","crispy"
"136","perfect"
"137","perfectly"
"138","yummy"
"139","fantastic"
"140","wonderful"
"141","highly"
