"","x"
"1","after"
"2","over"
"3","minutes"
"4","she"
"5","then"
"6","said"
"7","asked"
"8","he"
"9","NOTback"
"10","NOTfood"
"11","NOTnot"
"12","told"
"13","bad"
"14","took"
"15","NOTwe"
"16","worst"
"17","ever"
"18","NOTagain"
"19","manager"
"20","her"
"21","better"
"22","another"
"23","NOTgood"
"24","left"
"25","NOTour"
"26","waitress"
"27","horrible"
"28","great"
"29","terrible"
"30","not"
"31","wanted"
"32","waited"
"33","rude"
"34","cold"
"35","disappointed"
"36","NOTtime"
"37","finally"
"38","why"
"39","NOTany"
"40","NOTservice"
"41","customer"
"42","tasted"
"43","NOTno"
"44","looked"
"45","waiting"
"46","NOTeat"
"47","same"
"48","money"
"49","called"
"50","little"
"51","later"
"52","walked"
"53","NOTthem"
"54","gave"
"55","pretty"
"56","half"
"57","ask"
"58","NOTcome"
"59","best"
"60","sat"
"61","him"
"62","put"
"63","wrong"
"64","NOTwant"
"65","maybe"
"66","ok"
"67","always"
"68","however"
"69","bill"
"70","NOTever"
"71","tell"
"72","no"
"73","NOTgive"
"74","arrived"
"75","someone"
"76","least"
"77","else"
"78","NOTmake"
"79","instead"
"80","bland"
"81","dry"
"82","water"
"83","though"
"84","let"
"85","business"
"86","NOTshe"
"87","poor"
"88","awful"
"89","pay"
"90","customers"
"91","NOTworth"
"92","slow"
"93","person"
"94","NOThe"
"95","seemed"
"96","NOTafter"
"97","definitely"
"98","probably"
"99","NOTtaste"
"100","saw"
"101","NOTtake"
"102","NOTbad"
"103","empty"
"104","guy"
"105","paid"
"106","NOTmuch"
"107","NOTtable"
"108","NOTher"
"109","NOTrecommend"
"110","orders"
"111","owner"
"112","NOTdid"
"113","sitting"
"114","call"
"115","NOTcame"
"116","sorry"
"117","completely"
"118","guess"
"119","NOTanything"
"120","NOTreally"
"121","love"
"122","NOTbetter"
"123","felt"
"124","NOTway"
"125","leave"
"126","NOTover"
"127","absolutely"
"128","NOTasked"
"129","received"
"130","okay"
"131","literally"
"132","disappointing"
"133","until"
"134","NOTreturn"
"135","NOTthen"
"136","hostess"
"137","NOTthink"
"138","mediocre"
"139","NOTgreat"
"140","NOTdidn't"
"141","fine"
"142","NOTexperience"
"143","NOTcould"
"144","NOTminutes"
"145","NOTsee"
"146","NOTeither"
"147","bit"
"148","decent"
"149","overpriced"
"150","NOTright"
"151","NOTflavor"
"152","NOTdon't"
"153","seriously"
"154","girl"
"155","NOTbusy"
"156","behind"
"157","problem"
"158","lady"
"159","given"
"160","NOTwait"
"161","quite"
"162","charge"
"163","please"
"164","expensive"
"165","NOTenough"
"166","overall"
"167","NOTuntil"
"168","NOTwho"
"169","unfortunately"
"170","NOTask"
"171","stay"
"172","NOTanother"
"173","NOTknow"
"174","gone"
"175","NOTelse"
"176","super"
"177","noticed"
"178","NOTfresh"
"179","piece"
"180","NOTdrink"
"181","stars"
"182","friendly"
"183","NOTsomething"
"184","average"
"185","needs"
"186","pieces"
"187","total"
"188","greasy"
"189","fresh"
"190","cook"
"191","NOTaway"
"192","expect"
"193","NOTfirst"
"194","happy"
"195","excited"
"196","store"
"197","seems"
"198","atmosphere"
"199","salty"
"200","giving"
"201","NOTprice"
"202","recommend"
"203","NOTspecial"
"204","NOTquality"
"205","tiny"
"206","basically"
"207","although"
"208","worth"
"209","amazing"
"210","delicious"
"211","spicy"
"212","portion"
"213","quick"
"214","NOThome"
"215","loud"
"216","expected"
"217","NOTthough"
"218","OK"
"219","decor"
"220","spot"
"221","itself"
"222","NOTimpressed"
"223","favorite"
"224","selection"
"225","tasty"
"226","NOTlittle"
"227","enjoyed"
"228","patio"
"229","awesome"
"230","style"
"231","parking"
"232","seating"
"233","excellent"
"234","highly"
"235","liked"
"236","lots"
"237","fun"
"238","standard"
"239","NOTfan"
"240","attentive"
"241","hit"
"242","ambiance"
"243","loved"
"244","brunch"
"245","pricey"
"246","variety"
"247","soft"
"248","crispy"
"249","chocolate"
"250","interesting"
"251","can't"
"252","flavors"
"253","beautiful"
"254","light"
"255","located"
"256","perfect"
"257","choose"
"258","authentic"
"259","reasonable"
"260","sometimes"
"261","often"
"262","option"
"263","fan"
"264","recommended"
"265","perfectly"
"266","yummy"
"267","specials"
"268","tender"
"269","fantastic"
"270","flavorful"
"271","helpful"
"272","wonderful"
"273","glad"
"274","die"
