"","x"
"1","but"
"2","after"
"3","good"
"4","came"
"5","over"
"6","minutes"
"7","she"
"8","then"
"9","said"
"10","asked"
"11","he"
"12","NOTback"
"13","NOTfood"
"14","NOTbut"
"15","NOTnot"
"16","told"
"17","bad"
"18","took"
"19","did"
"20","NOTwe"
"21","table"
"22","know"
"23","who"
"24","worst"
"25","ever"
"26","NOTplace"
"27","NOTagain"
"28","manager"
"29","her"
"30","better"
"31","another"
"32","NOTgood"
"33","left"
"34","server"
"35","last"
"36","NOTour"
"37","waitress"
"38","horrible"
"39","great"
"40","terrible"
"41","not"
"42","much"
"43","give"
"44","wanted"
"45","waited"
"46","long"
"47","rude"
"48","cold"
"49","disappointed"
"50","NOTtime"
"51","finally"
"52","why"
"53","think"
"54","NOTlike"
"55","NOTany"
"56","NOTservice"
"57","customer"
"58","tasted"
"59","away"
"60","NOTno"
"61","looked"
"62","nice"
"63","waiting"
"64","don't"
"65","NOTeat"
"66","his"
"67","same"
"68","decided"
"69","money"
"70","called"
"71","little"
"72","later"
"73","walked"
"74","NOTthem"
"75","gave"
"76","pretty"
"77","half"
"78","ask"
"79","NOTcome"
"80","everything"
"81","thought"
"82","best"
"83","sat"
"84","waiter"
"85","tables"
"86","him"
"87","lunch"
"88","put"
"89","wrong"
"90","NOTwant"
"91","maybe"
"92","ok"
"93","always"
"94","however"
"95","bill"
"96","NOTever"
"97","almost"
"98","tell"
"99","seated"
"100","brought"
"101","no"
"102","NOTgive"
"103","arrived"
"104","someone"
"105","least"
"106","else"
"107","NOTmake"
"108","instead"
"109","actually"
"110","review"
"111","star"
"112","bland"
"113","dry"
"114","water"
"115","though"
"116","every"
"117","let"
"118","business"
"119","hard"
"120","side"
"121","NOTshe"
"122","poor"
"123","awful"
"124","pay"
"125","customers"
"126","reviews"
"127","NOTworth"
"128","slow"
"129","point"
"130","person"
"131","price"
"132","NOThe"
"133","seemed"
"134","NOTafter"
"135","definitely"
"136","probably"
"137","didn't"
"138","NOTtaste"
"139","saw"
"140","today"
"141","kitchen"
"142","NOTtake"
"143","NOTbad"
"144","empty"
"145","guy"
"146","paid"
"147","NOTmuch"
"148","front"
"149","NOTtable"
"150","second"
"151","lot"
"152","NOTher"
"153","extremely"
"154","NOTrecommend"
"155","orders"
"156","owner"
"157","NOTdid"
"158","sitting"
"159","call"
"160","NOTcame"
"161","done"
"162","sorry"
"163","hours"
"164","completely"
"165","guess"
"166","NOTanything"
"167","NOTmoney"
"168","NOTreally"
"169","love"
"170","vegas"
"171","NOTbetter"
"172","felt"
"173","NOTway"
"174","leave"
"175","NOTover"
"176","absolutely"
"177","care"
"178","NOTasked"
"179","received"
"180","okay"
"181","already"
"182","literally"
"183","door"
"184","disappointing"
"185","until"
"186","NOTreturn"
"187","NOTthen"
"188","ended"
"189","hostess"
"190","dirty"
